[GPU 0]: Config File
{'id': 7, 'model_name': 'swin_large_patch4_window12_384_in22k', 'dropout': 0.5, 'size': 384, 'batch_size_t': 4, 'batch_size_v': 32, 'n_targets': 5, 'criterion': 'CrossEntropyLoss', 'gradient_accumulation_steps': 1, 'max_gradient_norm': None, 'optimizer': 'RangerLars', 'scheduler': 'CosineAnnealingWarmRestarts', 'LR': 7e-06, 'T_0': 200, 'T_max': 10, 'T_mult': 2, 'min_lr': 1e-06, 'max_lr': 0.0001, 'no_batches': 'NA', 'warmup_epochs': 1, 'cosine_epochs': 14, 'epochs': 15, 'update_per_batch': True, 'num_workers': 4, 'n_folds': 5, 'train_transforms': [HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)], 'valid_transforms': [], 'observations': None, 'use_swa': True, 'swa_lr': 0.01, 'swa_epoch': 0, 'use_sam': True, 'use_asam': True, 'asam_rho': 0.1, 'print_freq': 50, 'one_fold': True, 'use_apex': True, 'distributed_training': False, 'save_to_log': True}
================================================== Training Fold: 0 ==================================================
[GPU cuda:0][TRAIN] Epoch: [1][0/3100], Elapsed 0m 0s (remain 24m 6s), Accuracy: 0.000(0.000), Loss: 1.683(1.683), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][50/3100], Elapsed 0m 16s (remain 15m 57s), Accuracy: 50.000(15.196), Loss: 1.605(1.658), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][100/3100], Elapsed 0m 31s (remain 15m 41s), Accuracy: 25.000(16.584), Loss: 1.497(1.650), LR: 0.000004
[GPU cuda:0][TRAIN] Epoch: [1][150/3100], Elapsed 0m 47s (remain 15m 24s), Accuracy: 25.000(16.556), Loss: 1.454(1.651), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][200/3100], Elapsed 1m 3s (remain 15m 9s), Accuracy: 0.000(16.791), Loss: 1.648(1.657), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][250/3100], Elapsed 1m 18s (remain 14m 53s), Accuracy: 25.000(17.131), Loss: 1.719(1.655), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][300/3100], Elapsed 1m 34s (remain 14m 38s), Accuracy: 25.000(17.359), Loss: 1.538(1.653), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][350/3100], Elapsed 1m 50s (remain 14m 21s), Accuracy: 50.000(18.376), Loss: 1.568(1.650), LR: 0.000005
[GPU cuda:0][TRAIN] Epoch: [1][400/3100], Elapsed 2m 5s (remain 14m 6s), Accuracy: 0.000(18.454), Loss: 1.848(1.648), LR: 0.000004
[GPU cuda:0][TRAIN] Epoch: [1][450/3100], Elapsed 2m 21s (remain 13m 50s), Accuracy: 50.000(19.401), Loss: 1.468(1.642), LR: 0.000003
[GPU cuda:0][TRAIN] Epoch: [1][500/3100], Elapsed 2m 36s (remain 13m 34s), Accuracy: 25.000(19.311), Loss: 1.727(1.641), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][550/3100], Elapsed 2m 52s (remain 13m 18s), Accuracy: 0.000(19.102), Loss: 1.805(1.642), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][600/3100], Elapsed 3m 8s (remain 13m 3s), Accuracy: 25.000(18.927), Loss: 1.671(1.641), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][650/3100], Elapsed 3m 24s (remain 12m 47s), Accuracy: 25.000(19.086), Loss: 1.768(1.640), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][700/3100], Elapsed 3m 39s (remain 12m 31s), Accuracy: 25.000(18.723), Loss: 1.492(1.639), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][750/3100], Elapsed 3m 55s (remain 12m 16s), Accuracy: 25.000(19.108), Loss: 1.627(1.637), LR: 0.000006
