[GPU 1]: Config File
{'id': 1, 'model_name': 'swin_large_patch4_window12_384_in22k', 'dropout': 0.5, 'size': 384, 'batch_size_t': 5, 'batch_size_v': 32, 'n_targets': 5, 'criterion': 'CrossEntropyLoss', 'gradient_accumulation_steps': 1, 'max_gradient_norm': None, 'optimizer': 'AdamW', 'scheduler': 'CosineAnnealingWarmRestarts', 'LR': 1e-05, 'T_0': 200, 'T_max': 10, 'T_mult': 2, 'min_lr': 1e-06, 'max_lr': 0.0001, 'no_batches': 'NA', 'warmup_epochs': 1, 'cosine_epochs': 14, 'epochs': 15, 'update_per_batch': True, 'num_workers': 4, 'n_folds': 5, 'train_transforms': [], 'valid_transforms': [], 'observations': None, 'use_swa': True, 'swa_lr': 0.01, 'swa_epoch': 0, 'use_sam': True, 'use_asam': True, 'asam_rho': 0.1, 'print_freq': 50, 'one_fold': True, 'use_apex': True, 'distributed_training': False, 'save_to_log': True}
================================================== Training Fold: 0 ==================================================
[GPU cuda:1][TRAIN] Epoch: [1][0/2480], Elapsed 0m 0s (remain 21m 19s), Accuracy: 0.000(0.000), Loss: 1.758(1.758), LR: 0.000010
[GPU cuda:1][TRAIN] Epoch: [1][50/2480], Elapsed 0m 14s (remain 11m 37s), Accuracy: 20.000(20.392), Loss: 1.550(1.639), LR: 0.000009
[GPU cuda:1][TRAIN] Epoch: [1][100/2480], Elapsed 0m 28s (remain 11m 19s), Accuracy: 40.000(22.970), Loss: 1.432(1.614), LR: 0.000005
[GPU cuda:1][TRAIN] Epoch: [1][150/2480], Elapsed 0m 43s (remain 11m 4s), Accuracy: 20.000(24.503), Loss: 1.629(1.603), LR: 0.000002
[GPU cuda:1][TRAIN] Epoch: [1][200/2480], Elapsed 0m 57s (remain 10m 50s), Accuracy: 40.000(25.871), Loss: 1.600(1.594), LR: 0.000010
[GPU cuda:1][TRAIN] Epoch: [1][250/2480], Elapsed 1m 11s (remain 10m 35s), Accuracy: 20.000(26.375), Loss: 1.536(1.584), LR: 0.000010
[GPU cuda:1][TRAIN] Epoch: [1][300/2480], Elapsed 1m 25s (remain 10m 21s), Accuracy: 0.000(27.973), Loss: 1.638(1.560), LR: 0.000009
[GPU cuda:1][TRAIN] Epoch: [1][350/2480], Elapsed 1m 40s (remain 10m 7s), Accuracy: 100.000(30.256), Loss: 0.795(1.525), LR: 0.000007
[GPU cuda:1][TRAIN] Epoch: [1][400/2480], Elapsed 1m 54s (remain 9m 52s), Accuracy: 60.000(32.618), Loss: 1.037(1.488), LR: 0.000005
[GPU cuda:1][TRAIN] Epoch: [1][450/2480], Elapsed 2m 8s (remain 9m 38s), Accuracy: 40.000(34.678), Loss: 1.059(1.449), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][500/2480], Elapsed 2m 22s (remain 9m 24s), Accuracy: 40.000(36.607), Loss: 1.733(1.412), LR: 0.000002
