id,model_name,dropout,size,batch_size_t,batch_size_v,n_targets,criterion,gradient_accumulation_steps,max_gradient_norm,optimizer,scheduler,LR,T_0,T_max,T_mult,min_lr,max_lr,no_batches,warmup_epochs,cosine_epochs,epochs,update_per_batch,num_workers,n_folds,train_transforms,valid_transforms,observations,use_swa,swa_lr,swa_epoch,use_sam,use_asam,asam_rho,print_freq,one_fold,use_apex,distributed_training,save_to_log,oof-accuracy,oof-precision,oof-recall,cross-validation,public-leaderboard
0,swin_large_patch4_window12_384_in22k,0.5,384,4,32,5,CrossEntropyLoss,1,,RangerLars,CosineAnnealingWarmRestarts,7e-06,200,10,2,1e-06,0.0001,3100,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3241935483870968,0.6297649309608961,0.3241935483870968,[0.717741935483871],0
1,swin_large_patch4_window12_384_in22k,0.5,384,4,32,5,CrossEntropyLoss,1,,RangerLars,CosineAnnealingWarmRestarts,1e-05,200,10,2,1e-06,0.0001,3100,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3254838709677419,0.634327249167428,0.3254838709677419,[0.7241935483870968],0
2,swin_large_patch4_window12_384_in22k,0.5,384,4,32,5,CrossEntropyLoss,1,,RangerLars,CosineAnnealingWarmRestarts,3e-05,200,10,2,1e-06,0.0001,3100,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3298064516129032,0.6401558152064929,0.3298064516129032,[0.7458064516129033],0
3,swin_large_patch4_window12_384_in22k,0.5,384,4,32,5,CrossEntropyLoss,1,,RangerLars,CosineAnnealingWarmRestarts,5e-05,200,10,2,1e-06,0.0001,3100,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.329741935483871,0.6464920547646926,0.329741935483871,[0.7454838709677419],0
4,swin_large_patch4_window12_384_in22k,0.5,384,4,32,5,CrossEntropyLoss,1,,RangerLars,CosineAnnealingWarmRestarts,7e-05,200,10,2,1e-06,0.0001,3100,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3305161290322581,0.6452247918979483,0.3305161290322581,[0.7493548387096775],0
5,swin_large_patch4_window12_384_in22k,0.5,384,4,32,5,CrossEntropyLoss,1,,RangerLars,CosineAnnealingWarmRestarts,0.0001,200,10,2,1e-06,0.0001,3100,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3321935483870967,0.6549243554105322,0.3321935483870967,[0.7577419354838709],0
6,swin_large_patch4_window12_384_in22k,0.5,384,4,32,5,CrossEntropyLoss,1,,RangerLars,CosineAnnealingWarmRestarts,0.0003,200,10,2,1e-06,0.0001,3100,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3338709677419355,0.6587701225083641,0.3338709677419355,[0.7661290322580645],0
7,swin_large_patch4_window12_384_in22k,0.5,384,4,32,5,CrossEntropyLoss,1,,RangerLars,CosineAnnealingWarmRestarts,7e-06,200,10,2,1e-06,0.0001,3100,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3207741935483871,0.618721502411768,0.3207741935483871,[0.7006451612903226],0
8,swin_large_patch4_window12_384_in22k,0.5,384,4,32,5,CrossEntropyLoss,1,,RangerLars,CosineAnnealingWarmRestarts,1e-05,200,10,2,1e-06,0.0001,3100,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.322258064516129,0.6226099747984383,0.322258064516129,[0.7080645161290322],0
9,swin_large_patch4_window12_384_in22k,0.5,384,4,32,5,CrossEntropyLoss,1,,RangerLars,CosineAnnealingWarmRestarts,3e-05,200,10,2,1e-06,0.0001,3100,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3260645161290322,0.6368332714421864,0.3260645161290322,[0.7270967741935483],0
