id,model_name,dropout,size,batch_size_t,batch_size_v,n_targets,criterion,gradient_accumulation_steps,max_gradient_norm,optimizer,scheduler,LR,T_0,T_max,T_mult,min_lr,max_lr,no_batches,warmup_epochs,cosine_epochs,epochs,update_per_batch,num_workers,n_folds,train_transforms,valid_transforms,observations,use_swa,swa_lr,swa_epoch,use_sam,use_asam,asam_rho,print_freq,one_fold,use_apex,distributed_training,save_to_log,oof-accuracy,oof-precision,oof-recall,cross-validation,public-leaderboard
12,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,0.0001,200,10,2,1e-06,0.0001,2480,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.2258064516129032,0.0509885535900104,0.2258064516129032,[0.22580645161290322],0
13,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,0.0003,200,10,2,1e-06,0.0001,2480,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.2258064516129032,0.0509885535900104,0.2258064516129032,[0.22580645161290322],0
14,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,7e-06,500,10,5,1e-06,0.0001,2480,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.329741935483871,0.646148645621045,0.329741935483871,[0.7454838709677419],0
15,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,1e-05,500,10,5,1e-06,0.0001,2480,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.33,0.6399967641606601,0.33,[0.7467741935483871],0
16,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,3e-05,500,10,5,1e-06,0.0001,2480,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3318709677419355,0.6420809562434898,0.3318709677419355,[0.7561290322580645],0
17,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,5e-05,500,10,5,1e-06,0.0001,2480,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3332903225806451,0.6417605961872619,0.3332903225806451,[0.7632258064516129],0
18,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,7e-05,500,10,5,1e-06,0.0001,2480,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3336774193548387,0.6468861757516713,0.3336774193548387,[0.7651612903225806],0
19,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,0.0001,500,10,5,1e-06,0.0001,2480,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3223225806451613,0.5954331007214386,0.3223225806451613,[0.7083870967741935],0
20,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,0.0003,500,10,5,1e-06,0.0001,2480,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.2258064516129032,0.0509885535900104,0.2258064516129032,[0.22580645161290322],0
21,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,7e-06,500,10,5,1e-06,0.0001,2480,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3270967741935484,0.6327617293330393,0.3270967741935484,[0.7322580645161291],0
