[GPU 1]: Config File
{'id': 7, 'model_name': 'swin_large_patch4_window12_384_in22k', 'dropout': 0.5, 'size': 384, 'batch_size_t': 4, 'batch_size_v': 8, 'n_targets': 5, 'criterion': 'CrossEntropyLoss', 'gradient_accumulation_steps': 1, 'max_gradient_norm': None, 'optimizer': 'Adam', 'scheduler': 'OneCycleLR', 'LR': 8e-05, 'T_0': 200, 'T_max': 10, 'T_mult': 2, 'min_lr': 1e-06, 'max_lr': 8e-05, 'no_batches': 3100, 'warmup_epochs': 1, 'cosine_epochs': 11, 'epochs': 12, 'update_per_batch': True, 'num_workers': 4, 'n_folds': 5, 'train_transforms': [], 'valid_transforms': [], 'observations': None, 'use_swa': True, 'swa_lr': 0.01, 'swa_epoch': [7, 8, 9, 10, 11, 12], 'use_sam': True, 'use_asam': True, 'asam_rho': 0.1, 'print_freq': 50, 'one_fold': True, 'use_apex': True, 'distributed_training': False, 'save_to_log': True}
================================================== Training Fold: 0 ==================================================
[GPU cuda:1][TRAIN] Epoch: [1][0/3100], Elapsed 0m 0s (remain 24m 33s), Accuracy: 0.000(0.000), Loss: 1.718(1.718), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][50/3100], Elapsed 0m 12s (remain 12m 2s), Accuracy: 50.000(17.157), Loss: 1.509(1.650), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][100/3100], Elapsed 0m 23s (remain 11m 47s), Accuracy: 25.000(21.782), Loss: 1.568(1.627), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][150/3100], Elapsed 0m 35s (remain 11m 33s), Accuracy: 50.000(23.510), Loss: 1.444(1.618), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][200/3100], Elapsed 0m 47s (remain 11m 21s), Accuracy: 25.000(24.378), Loss: 1.480(1.606), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][250/3100], Elapsed 0m 58s (remain 11m 9s), Accuracy: 25.000(25.100), Loss: 1.621(1.603), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][300/3100], Elapsed 1m 10s (remain 10m 57s), Accuracy: 0.000(25.914), Loss: 1.687(1.593), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][350/3100], Elapsed 1m 22s (remain 10m 45s), Accuracy: 25.000(26.211), Loss: 1.547(1.587), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][400/3100], Elapsed 1m 34s (remain 10m 33s), Accuracy: 25.000(26.933), Loss: 1.659(1.578), LR: 0.000003
[GPU cuda:1][TRAIN] Epoch: [1][450/3100], Elapsed 1m 45s (remain 10m 22s), Accuracy: 75.000(28.381), Loss: 1.196(1.563), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][500/3100], Elapsed 1m 57s (remain 10m 10s), Accuracy: 50.000(29.291), Loss: 1.400(1.550), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][550/3100], Elapsed 2m 9s (remain 9m 58s), Accuracy: 25.000(30.626), Loss: 1.330(1.530), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][600/3100], Elapsed 2m 21s (remain 9m 46s), Accuracy: 25.000(31.780), Loss: 1.128(1.507), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][650/3100], Elapsed 2m 32s (remain 9m 34s), Accuracy: 75.000(32.757), Loss: 0.943(1.487), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][700/3100], Elapsed 2m 44s (remain 9m 22s), Accuracy: 50.000(34.023), Loss: 1.068(1.466), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][750/3100], Elapsed 2m 56s (remain 9m 11s), Accuracy: 100.000(35.353), Loss: 0.429(1.443), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][800/3100], Elapsed 3m 7s (remain 8m 59s), Accuracy: 75.000(36.080), Loss: 1.074(1.428), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][850/3100], Elapsed 3m 19s (remain 8m 47s), Accuracy: 50.000(36.986), Loss: 0.983(1.409), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][900/3100], Elapsed 3m 31s (remain 8m 35s), Accuracy: 75.000(37.431), Loss: 1.064(1.399), LR: 0.000004
[GPU cuda:1][TRAIN] Epoch: [1][950/3100], Elapsed 3m 43s (remain 8m 24s), Accuracy: 75.000(38.328), Loss: 0.905(1.383), LR: 0.000005
