[GPU 0]: Config File
{'id': 3, 'model_name': 'swin_large_patch4_window12_384_in22k', 'dropout': 0.5, 'size': 384, 'batch_size_t': 4, 'batch_size_v': 8, 'n_targets': 5, 'criterion': 'CrossEntropyLoss', 'gradient_accumulation_steps': 1, 'max_gradient_norm': None, 'optimizer': 'Adam', 'scheduler': 'CosineAnnealingWarmRestarts', 'LR': 8e-06, 'T_0': 74, 'T_max': 10, 'T_mult': 2, 'min_lr': 1e-06, 'max_lr': 0.0001, 'no_batches': 'NA', 'warmup_epochs': 1, 'cosine_epochs': 11, 'epochs': 12, 'update_per_batch': True, 'num_workers': 4, 'n_folds': 5, 'train_transforms': [], 'valid_transforms': [], 'observations': None, 'use_swa': True, 'swa_lr': 0.01, 'swa_epoch': [3, 5, 6, 10, 11, 12], 'use_sam': True, 'use_asam': True, 'asam_rho': 0.1, 'print_freq': 50, 'one_fold': True, 'use_apex': True, 'distributed_training': False, 'save_to_log': True}
================================================== Training Fold: 0 ==================================================
[GPU cuda:0][TRAIN] Epoch: [1][0/3100], Elapsed 0m 0s (remain 36m 7s), Accuracy: 0.000(0.000), Loss: 1.718(1.718), LR: 0.000008
[GPU cuda:0][TRAIN] Epoch: [1][50/3100], Elapsed 0m 11s (remain 11m 52s), Accuracy: 25.000(16.667), Loss: 1.549(1.650), LR: 0.000003
[GPU cuda:0][TRAIN] Epoch: [1][100/3100], Elapsed 0m 23s (remain 11m 26s), Accuracy: 0.000(21.040), Loss: 1.664(1.626), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][150/3100], Elapsed 0m 34s (remain 11m 10s), Accuracy: 50.000(22.517), Loss: 1.395(1.613), LR: 0.000004
[GPU cuda:0][TRAIN] Epoch: [1][200/3100], Elapsed 0m 45s (remain 10m 58s), Accuracy: 25.000(23.881), Loss: 1.452(1.601), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][250/3100], Elapsed 0m 57s (remain 10m 47s), Accuracy: 0.000(25.000), Loss: 1.759(1.593), LR: 0.000008
[GPU cuda:0][TRAIN] Epoch: [1][300/3100], Elapsed 1m 8s (remain 10m 36s), Accuracy: 0.000(25.997), Loss: 1.958(1.581), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][350/3100], Elapsed 1m 19s (remain 10m 25s), Accuracy: 50.000(27.350), Loss: 1.244(1.559), LR: 0.000005
[GPU cuda:0][TRAIN] Epoch: [1][400/3100], Elapsed 1m 31s (remain 10m 13s), Accuracy: 25.000(29.364), Loss: 1.384(1.527), LR: 0.000003
[GPU cuda:0][TRAIN] Epoch: [1][450/3100], Elapsed 1m 42s (remain 10m 1s), Accuracy: 75.000(32.095), Loss: 0.770(1.488), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][500/3100], Elapsed 1m 53s (remain 9m 50s), Accuracy: 50.000(33.333), Loss: 1.108(1.463), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][550/3100], Elapsed 2m 5s (remain 9m 39s), Accuracy: 25.000(34.800), Loss: 1.718(1.440), LR: 0.000008
[GPU cuda:0][TRAIN] Epoch: [1][600/3100], Elapsed 2m 16s (remain 9m 27s), Accuracy: 25.000(36.148), Loss: 1.002(1.415), LR: 0.000008
[GPU cuda:0][TRAIN] Epoch: [1][650/3100], Elapsed 2m 27s (remain 9m 16s), Accuracy: 50.000(37.174), Loss: 0.993(1.396), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][700/3100], Elapsed 2m 39s (remain 9m 5s), Accuracy: 75.000(38.053), Loss: 0.875(1.377), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][750/3100], Elapsed 2m 50s (remain 8m 54s), Accuracy: 100.000(39.414), Loss: 0.376(1.354), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][800/3100], Elapsed 3m 2s (remain 8m 42s), Accuracy: 75.000(40.512), Loss: 1.130(1.334), LR: 0.000005
[GPU cuda:0][TRAIN] Epoch: [1][850/3100], Elapsed 3m 13s (remain 8m 31s), Accuracy: 100.000(41.481), Loss: 0.490(1.315), LR: 0.000004
[GPU cuda:0][TRAIN] Epoch: [1][900/3100], Elapsed 3m 24s (remain 8m 20s), Accuracy: 75.000(41.898), Loss: 0.992(1.303), LR: 0.000003
[GPU cuda:0][TRAIN] Epoch: [1][950/3100], Elapsed 3m 36s (remain 8m 8s), Accuracy: 75.000(42.955), Loss: 0.918(1.287), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][1000/3100], Elapsed 3m 47s (remain 7m 57s), Accuracy: 75.000(43.931), Loss: 0.772(1.270), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][1050/3100], Elapsed 3m 59s (remain 7m 46s), Accuracy: 100.000(44.862), Loss: 0.448(1.248), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][1100/3100], Elapsed 4m 10s (remain 7m 35s), Accuracy: 25.000(45.708), Loss: 1.582(1.232), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][1150/3100], Elapsed 4m 22s (remain 7m 23s), Accuracy: 50.000(46.308), Loss: 0.823(1.221), LR: 0.000008
[GPU cuda:0][TRAIN] Epoch: [1][1200/3100], Elapsed 4m 33s (remain 7m 12s), Accuracy: 100.000(46.669), Loss: 0.346(1.211), LR: 0.000008
[GPU cuda:0][TRAIN] Epoch: [1][1250/3100], Elapsed 4m 44s (remain 7m 1s), Accuracy: 50.000(46.902), Loss: 1.587(1.207), LR: 0.000008
[GPU cuda:0][TRAIN] Epoch: [1][1300/3100], Elapsed 4m 56s (remain 6m 49s), Accuracy: 50.000(47.271), Loss: 1.238(1.201), LR: 0.000008
[GPU cuda:0][TRAIN] Epoch: [1][1350/3100], Elapsed 5m 7s (remain 6m 38s), Accuracy: 100.000(47.687), Loss: 0.727(1.191), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][1400/3100], Elapsed 5m 19s (remain 6m 27s), Accuracy: 50.000(48.073), Loss: 0.834(1.183), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][1450/3100], Elapsed 5m 30s (remain 6m 15s), Accuracy: 75.000(48.639), Loss: 0.714(1.171), LR: 0.000007
[GPU cuda:0][TRAIN] Epoch: [1][1500/3100], Elapsed 5m 41s (remain 6m 4s), Accuracy: 100.000(49.101), Loss: 0.899(1.161), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][1550/3100], Elapsed 5m 53s (remain 5m 52s), Accuracy: 75.000(49.404), Loss: 0.464(1.153), LR: 0.000006
[GPU cuda:0][TRAIN] Epoch: [1][1600/3100], Elapsed 6m 4s (remain 5m 41s), Accuracy: 75.000(49.891), Loss: 0.416(1.143), LR: 0.000005
[GPU cuda:0][TRAIN] Epoch: [1][1650/3100], Elapsed 6m 16s (remain 5m 30s), Accuracy: 100.000(50.288), Loss: 0.543(1.134), LR: 0.000005
[GPU cuda:0][TRAIN] Epoch: [1][1700/3100], Elapsed 6m 27s (remain 5m 18s), Accuracy: 50.000(50.808), Loss: 1.222(1.125), LR: 0.000005
[GPU cuda:0][TRAIN] Epoch: [1][1750/3100], Elapsed 6m 39s (remain 5m 7s), Accuracy: 50.000(51.028), Loss: 0.776(1.120), LR: 0.000004
[GPU cuda:0][TRAIN] Epoch: [1][1800/3100], Elapsed 6m 50s (remain 4m 56s), Accuracy: 100.000(51.430), Loss: 0.310(1.110), LR: 0.000004
[GPU cuda:0][TRAIN] Epoch: [1][1850/3100], Elapsed 7m 1s (remain 4m 44s), Accuracy: 50.000(51.580), Loss: 0.852(1.107), LR: 0.000003
[GPU cuda:0][TRAIN] Epoch: [1][1900/3100], Elapsed 7m 13s (remain 4m 33s), Accuracy: 50.000(52.052), Loss: 0.837(1.097), LR: 0.000003
[GPU cuda:0][TRAIN] Epoch: [1][1950/3100], Elapsed 7m 24s (remain 4m 21s), Accuracy: 100.000(52.383), Loss: 0.546(1.091), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][2000/3100], Elapsed 7m 36s (remain 4m 10s), Accuracy: 75.000(52.736), Loss: 0.660(1.083), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][2050/3100], Elapsed 7m 47s (remain 3m 59s), Accuracy: 75.000(53.169), Loss: 0.557(1.074), LR: 0.000002
[GPU cuda:0][TRAIN] Epoch: [1][2100/3100], Elapsed 7m 59s (remain 3m 47s), Accuracy: 75.000(53.403), Loss: 2.446(1.069), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][2150/3100], Elapsed 8m 10s (remain 3m 36s), Accuracy: 50.000(53.859), Loss: 1.231(1.061), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][2200/3100], Elapsed 8m 21s (remain 3m 25s), Accuracy: 25.000(54.157), Loss: 1.216(1.057), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][2250/3100], Elapsed 8m 33s (remain 3m 13s), Accuracy: 50.000(54.431), Loss: 0.861(1.050), LR: 0.000001
[GPU cuda:0][TRAIN] Epoch: [1][2300/3100], Elapsed 8m 44s (remain 3m 2s), Accuracy: 0.000(54.639), Loss: 1.845(1.045), LR: 0.000008
[GPU cuda:0][TRAIN] Epoch: [1][2350/3100], Elapsed 8m 56s (remain 2m 50s), Accuracy: 50.000(54.828), Loss: 0.859(1.041), LR: 0.000008
[GPU cuda:0][TRAIN] Epoch: [1][2400/3100], Elapsed 9m 7s (remain 2m 39s), Accuracy: 25.000(54.852), Loss: 1.397(1.040), LR: 0.000008
[GPU cuda:0][TRAIN] Epoch: [1][2450/3100], Elapsed 9m 19s (remain 2m 28s), Accuracy: 50.000(54.978), Loss: 0.937(1.037), LR: 0.000008
[GPU cuda:0][TRAIN] Epoch: [1][2500/3100], Elapsed 9m 30s (remain 2m 16s), Accuracy: 25.000(55.268), Loss: 1.352(1.032), LR: 0.000008
[GPU cuda:0][TRAIN] Epoch: [1][2550/3100], Elapsed 9m 41s (remain 2m 5s), Accuracy: 75.000(55.243), Loss: 0.914(1.033), LR: 0.000008
[GPU cuda:0][TRAIN] Epoch: [1][2600/3100], Elapsed 9m 53s (remain 1m 53s), Accuracy: 50.000(55.594), Loss: 0.987(1.028), LR: 0.000008
