id,model_name,dropout,size,batch_size_t,batch_size_v,n_targets,criterion,gradient_accumulation_steps,max_gradient_norm,optimizer,scheduler,LR,T_0,T_max,T_mult,min_lr,max_lr,no_batches,warmup_epochs,cosine_epochs,epochs,update_per_batch,num_workers,n_folds,train_transforms,valid_transforms,observations,use_swa,swa_lr,swa_epoch,use_sam,use_asam,asam_rho,print_freq,one_fold,use_apex,distributed_training,save_to_log,oof-accuracy,oof-precision,oof-recall,cross-validation,public-leaderboard
0,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,7e-05,200,10,2,1e-06,0.0001,2480,1,9,10,True,4,5,[],[],,True,0.01,0,False,True,0.1,50,False,True,False,True,0.7318064516129033,0.7353031370320235,0.7318064516129033,"[0.7693548387096775, 0.5932258064516129, 0.7696774193548387, 0.7574193548387097, 0.7693548387096775]",0
1,swin_large_patch4_window12_384_in22k,0.5,384,5,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,7e-05,62,10,3,1e-06,0.0001,2480,1,8,9,True,4,5,[],[],,True,0.01,0,False,True,0.1,50,False,True,False,True,0.7605806451612903,0.765014254972945,0.7605806451612903,"[0.762258064516129, 0.7625806451612903, 0.76, 0.7519354838709678, 0.7661290322580645]",0
2,swin_large_patch4_window12_384_in22k,0.5,384,4,32,5,CrossEntropyLoss,1,,AdamW,CosineAnnealingWarmRestarts,7e-05,74,10,2,1e-06,0.0001,3100,1,11,12,True,4,5,[],[],,True,0.01,"[3, 5, 6, 10, 11, 12]",False,True,0.1,50,False,True,False,True,0.7629677419354839,0.7673238930356543,0.7629677419354839,"[0.7641935483870967, 0.7638709677419355, 0.7619354838709678, 0.7629032258064516, 0.7619354838709678]",0
